match_id,winning_team,blueTeam,redTeam,gameVersion
3034690254,red,"[{'champion': 'Vayne', 'role': 'NONE'}, {'champion': 'Nasus', 'role': 'NONE'}, {'champion': 'Corki', 'role': 'NONE'}, {'champion': 'Ivern', 'role': 'NONE'}, {'champion': 'Soraka', 'role': 'NONE'}]","[{'champion': 'Kaisa', 'role': 'NONE'}, {'champion': 'Amumu', 'role': 'NONE'}, {'champion': 'Sylas', 'role': 'NONE'}, {'champion': 'Sion', 'role': 'NONE'}, {'champion': 'Zyra', 'role': 'NONE'}]",9.9.272.4950
3034417964,red,"[{'champion': 'Gragas', 'role': 'JUNGLE'}, {'champion': 'Katarina', 'role': 'MIDDLE'}, {'champion': 'Illaoi', 'role': 'MIDDLE'}, {'champion': 'Mordekaiser', 'role': 'DUO_CARRY'}, {'champion': 'Xerath', 'role': 'DUO_SUPPORT'}]","[{'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Twitch', 'role': 'JUNGLE'}, {'champion': 'Lulu', 'role': 'TOP'}, {'champion': 'Zed', 'role': 'MIDDLE'}, {'champion': ""Vel'Koz"", 'role': 'DUO_SUPPORT'}]",9.9.272.4950
3034365429,blue,"[{'champion': 'Bard', 'role': 'MIDDLE'}, {'champion': 'Orianna', 'role': 'MIDDLE'}, {'champion': 'Jarvan IV', 'role': 'JUNGLE'}, {'champion': 'Miss Fortune', 'role': 'TOP'}, {'champion': 'Yasuo', 'role': 'TOP'}]","[{'champion': 'Brand', 'role': 'DUO_SUPPORT'}, {'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': 'Skarner', 'role': 'JUNGLE'}, {'champion': 'Wukong', 'role': 'TOP'}, {'champion': 'Vladimir', 'role': 'MIDDLE'}]",9.9.272.4950
3034307024,blue,"[{'champion': 'Veigar', 'role': 'MIDDLE'}, {'champion': 'Blitzcrank', 'role': 'DUO_SUPPORT'}, {'champion': 'Jinx', 'role': 'DUO_CARRY'}, {'champion': 'Camille', 'role': 'TOP'}, {'champion': 'Kayn', 'role': 'JUNGLE'}]","[{'champion': 'Darius', 'role': 'TOP'}, {'champion': 'Karthus', 'role': 'MIDDLE'}, {'champion': 'Volibear', 'role': 'JUNGLE'}, {'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': 'Zilean', 'role': 'DUO_SUPPORT'}]",9.9.272.4950
3033783597,blue,"[{'champion': 'Brand', 'role': 'DUO_SUPPORT'}, {'champion': 'Pantheon', 'role': 'JUNGLE'}, {'champion': 'Caitlyn', 'role': 'DUO_CARRY'}, {'champion': 'Jax', 'role': 'TOP'}, {'champion': 'Orianna', 'role': 'MIDDLE'}]","[{'champion': 'Ashe', 'role': 'DUO_CARRY'}, {'champion': 'Karma', 'role': 'DUO_SUPPORT'}, {'champion': 'Ahri', 'role': 'MIDDLE'}, {'champion': 'Vladimir', 'role': 'TOP'}, {'champion': 'Shaco', 'role': 'JUNGLE'}]",9.9.272.4950
3033757318,red,"[{'champion': 'Twitch', 'role': 'SOLO'}, {'champion': 'Volibear', 'role': 'TOP'}, {'champion': 'Lee Sin', 'role': 'JUNGLE'}, {'champion': 'Ahri', 'role': 'MIDDLE'}, {'champion': 'Aatrox', 'role': 'MIDDLE'}]","[{'champion': 'Jarvan IV', 'role': 'JUNGLE'}, {'champion': 'Akali', 'role': 'TOP'}, {'champion': 'Nautilus', 'role': 'DUO_SUPPORT'}, {'champion': 'Caitlyn', 'role': 'DUO_CARRY'}, {'champion': 'Lissandra', 'role': 'TOP'}]",9.9.272.4950
3033719686,red,"[{'champion': ""Kha'Zix"", 'role': 'JUNGLE'}, {'champion': 'Morgana', 'role': 'DUO_SUPPORT'}, {'champion': 'LeBlanc', 'role': 'MIDDLE'}, {'champion': 'Lucian', 'role': 'DUO_CARRY'}, {'champion': 'Urgot', 'role': 'JUNGLE'}]","[{'champion': 'Tryndamere', 'role': 'TOP'}, {'champion': 'Pyke', 'role': 'JUNGLE'}, {'champion': 'Vayne', 'role': 'SOLO'}, {'champion': 'Ahri', 'role': 'MIDDLE'}, {'champion': 'Elise', 'role': 'JUNGLE'}]",9.9.272.4950
3033689631,blue,"[{'champion': 'Lux', 'role': 'MIDDLE'}, {'champion': 'Jax', 'role': 'TOP'}, {'champion': 'Nidalee', 'role': 'JUNGLE'}, {'champion': 'Caitlyn', 'role': 'MIDDLE'}, {'champion': 'Thresh', 'role': 'SOLO'}]","[{'champion': 'Brand', 'role': 'SOLO'}, {'champion': 'Fiora', 'role': 'TOP'}, {'champion': 'Vayne', 'role': 'JUNGLE'}, {'champion': 'Lee Sin', 'role': 'JUNGLE'}, {'champion': 'Ahri', 'role': 'MIDDLE'}]",9.9.272.4950
3033678582,red,"[{'champion': 'Zed', 'role': 'MIDDLE'}, {'champion': 'Morgana', 'role': 'DUO_SUPPORT'}, {'champion': 'Lee Sin', 'role': 'JUNGLE'}, {'champion': 'Shen', 'role': 'TOP'}, {'champion': 'Jinx', 'role': 'DUO_CARRY'}]","[{'champion': 'Volibear', 'role': 'JUNGLE'}, {'champion': 'Fiora', 'role': 'TOP'}, {'champion': 'Sona', 'role': 'DUO'}, {'champion': 'Taric', 'role': 'DUO'}, {'champion': 'Zyra', 'role': 'MIDDLE'}]",9.9.272.4950
3034979905,blue,"[{'champion': 'Jax', 'role': 'JUNGLE'}, {'champion': 'Caitlyn', 'role': 'SOLO'}, {'champion': 'Azir', 'role': 'MIDDLE'}, {'champion': 'Darius', 'role': 'JUNGLE'}, {'champion': 'Lux', 'role': 'MIDDLE'}]","[{'champion': 'Lee Sin', 'role': 'JUNGLE'}, {'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': 'Fizz', 'role': 'MIDDLE'}, {'champion': 'Riven', 'role': 'TOP'}, {'champion': 'Soraka', 'role': 'DUO_SUPPORT'}]",9.9.272.4950
3034900399,red,"[{'champion': 'Janna', 'role': 'DUO_SUPPORT'}, {'champion': 'Zac', 'role': 'JUNGLE'}, {'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Gangplank', 'role': 'MIDDLE'}, {'champion': 'Zed', 'role': 'TOP'}]","[{'champion': 'Pantheon', 'role': 'TOP'}, {'champion': 'Master Yi', 'role': 'JUNGLE'}, {'champion': 'Sivir', 'role': 'DUO_CARRY'}, {'champion': 'Braum', 'role': 'DUO_SUPPORT'}, {'champion': 'Lux', 'role': 'MIDDLE'}]",9.9.272.4950
3034147043,blue,"[{'champion': 'Udyr', 'role': 'JUNGLE'}, {'champion': 'Soraka', 'role': 'MIDDLE'}, {'champion': 'Akali', 'role': 'TOP'}, {'champion': 'Jinx', 'role': 'MIDDLE'}, {'champion': 'Corki', 'role': 'MIDDLE'}]","[{'champion': 'Gnar', 'role': 'TOP'}, {'champion': 'Braum', 'role': 'DUO_SUPPORT'}, {'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Gangplank', 'role': 'MIDDLE'}, {'champion': 'Ekko', 'role': 'JUNGLE'}]",9.9.272.4950
3032199398,red,"[{'champion': 'Varus', 'role': 'DUO_CARRY'}, {'champion': 'Fizz', 'role': 'MIDDLE'}, {'champion': 'Shyvana', 'role': 'JUNGLE'}, {'champion': 'Fiddlesticks', 'role': 'DUO_SUPPORT'}, {'champion': 'Sion', 'role': 'TOP'}]","[{'champion': 'Lux', 'role': 'MIDDLE'}, {'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': 'Darius', 'role': 'TOP'}, {'champion': 'Morgana', 'role': 'DUO_SUPPORT'}, {'champion': 'Udyr', 'role': 'JUNGLE'}]",9.8.270.9450
3032235530,blue,"[{'champion': 'Ekko', 'role': 'MIDDLE'}, {'champion': 'Darius', 'role': 'TOP'}, {'champion': 'Sivir', 'role': 'DUO_CARRY'}, {'champion': 'Lux', 'role': 'DUO_SUPPORT'}, {'champion': 'Kayn', 'role': 'JUNGLE'}]","[{'champion': 'Kennen', 'role': 'TOP'}, {'champion': 'Orianna', 'role': 'MIDDLE'}, {'champion': 'Rammus', 'role': 'JUNGLE'}, {'champion': 'Varus', 'role': 'DUO_CARRY'}, {'champion': 'Sona', 'role': 'DUO_SUPPORT'}]",9.8.270.9450
3032064037,red,"[{'champion': 'Irelia', 'role': 'MIDDLE'}, {'champion': 'Udyr', 'role': 'JUNGLE'}, {'champion': 'Hecarim', 'role': 'TOP'}, {'champion': 'Taric', 'role': 'DUO_SUPPORT'}, {'champion': 'Tristana', 'role': 'DUO_CARRY'}]","[{'champion': 'Brand', 'role': 'DUO_SUPPORT'}, {'champion': 'Rumble', 'role': 'TOP'}, {'champion': 'Veigar', 'role': 'MIDDLE'}, {'champion': 'Evelynn', 'role': 'JUNGLE'}, {'champion': 'Twitch', 'role': 'DUO_CARRY'}]",9.8.270.9450
3031540460,red,"[{'champion': 'Teemo', 'role': 'TOP'}, {'champion': 'Vayne', 'role': 'DUO_CARRY'}, {'champion': 'Master Yi', 'role': 'JUNGLE'}, {'champion': 'Morgana', 'role': 'MIDDLE'}, {'champion': 'Bard', 'role': 'DUO_SUPPORT'}]","[{'champion': 'Thresh', 'role': 'DUO_SUPPORT'}, {'champion': 'Lucian', 'role': 'DUO_CARRY'}, {'champion': 'Swain', 'role': 'MIDDLE'}, {'champion': 'Urgot', 'role': 'TOP'}, {'champion': 'Udyr', 'role': 'JUNGLE'}]",9.8.270.9450
3031307725,red,"[{'champion': 'Yasuo', 'role': 'MIDDLE'}, {'champion': 'Udyr', 'role': 'JUNGLE'}, {'champion': 'Shaco', 'role': 'DUO_SUPPORT'}, {'champion': 'Kalista', 'role': 'DUO_CARRY'}, {'champion': 'Irelia', 'role': 'TOP'}]","[{'champion': 'Nautilus', 'role': 'DUO_SUPPORT'}, {'champion': 'Ahri', 'role': 'MIDDLE'}, {'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Rammus', 'role': 'JUNGLE'}, {'champion': 'Garen', 'role': 'TOP'}]",9.8.270.9450
3034189642,blue,"[{'champion': 'Blitzcrank', 'role': 'MIDDLE'}, {'champion': 'Xin Zhao', 'role': 'JUNGLE'}, {'champion': 'Jinx', 'role': 'MIDDLE'}, {'champion': 'Akali', 'role': 'MIDDLE'}, {'champion': 'Garen', 'role': 'JUNGLE'}]","[{'champion': 'Sylas', 'role': 'MIDDLE'}, {'champion': 'Taric', 'role': 'DUO_SUPPORT'}, {'champion': 'Jhin', 'role': 'DUO_CARRY'}, {'champion': 'Dr. Mundo', 'role': 'TOP'}, {'champion': 'Nidalee', 'role': 'JUNGLE'}]",9.9.272.4950
3034162087,blue,"[{'champion': 'Lux', 'role': 'DUO_SUPPORT'}, {'champion': 'Akali', 'role': 'MIDDLE'}, {'champion': 'Kayn', 'role': 'JUNGLE'}, {'champion': 'Amumu', 'role': 'JUNGLE'}, {'champion': 'Tristana', 'role': 'DUO_CARRY'}]","[{'champion': 'Viktor', 'role': 'MIDDLE'}, {'champion': 'Aatrox', 'role': 'TOP'}, {'champion': 'Blitzcrank', 'role': 'DUO_SUPPORT'}, {'champion': 'Jhin', 'role': 'DUO_CARRY'}, {'champion': 'Jarvan IV', 'role': 'JUNGLE'}]",9.9.272.4950
3034142905,blue,"[{'champion': 'Tryndamere', 'role': 'TOP'}, {'champion': 'Kassadin', 'role': 'MIDDLE'}, {'champion': 'Evelynn', 'role': 'JUNGLE'}, {'champion': 'Blitzcrank', 'role': 'DUO_SUPPORT'}, {'champion': 'Kaisa', 'role': 'DUO_CARRY'}]","[{'champion': 'Tristana', 'role': 'DUO_CARRY'}, {'champion': 'Lux', 'role': 'DUO_SUPPORT'}, {'champion': 'Nunu', 'role': 'JUNGLE'}, {'champion': 'Varus', 'role': 'MIDDLE'}, {'champion': 'Kennen', 'role': 'TOP'}]",9.9.272.4950
3034127633,red,"[{'champion': 'Jax', 'role': 'JUNGLE'}, {'champion': 'Cassiopeia', 'role': 'TOP'}, {'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Vladimir', 'role': 'TOP'}, {'champion': 'Sion', 'role': 'DUO_SUPPORT'}]","[{'champion': 'Riven', 'role': 'TOP'}, {'champion': 'Lee Sin', 'role': 'JUNGLE'}, {'champion': 'Brand', 'role': 'DUO_SUPPORT'}, {'champion': 'Zed', 'role': 'MIDDLE'}, {'champion': 'Jinx', 'role': 'DUO_CARRY'}]",9.9.272.4950
3034120862,blue,"[{'champion': 'Jarvan IV', 'role': 'JUNGLE'}, {'champion': 'Annie', 'role': 'MIDDLE'}, {'champion': 'Lucian', 'role': 'DUO_CARRY'}, {'champion': 'Wukong', 'role': 'MIDDLE'}, {'champion': 'Blitzcrank', 'role': 'DUO_SUPPORT'}]","[{'champion': 'Diana', 'role': 'TOP'}, {'champion': 'Zoe', 'role': 'MIDDLE'}, {'champion': 'Draven', 'role': 'DUO_CARRY'}, {'champion': 'Zilean', 'role': 'DUO_SUPPORT'}, {'champion': 'Vi', 'role': 'JUNGLE'}]",9.9.272.4950
3034912823,red,"[{'champion': 'Alistar', 'role': 'DUO_SUPPORT'}, {'champion': 'Jinx', 'role': 'DUO_CARRY'}, {'champion': 'Udyr', 'role': 'JUNGLE'}, {'champion': 'Akali', 'role': 'MIDDLE'}, {'champion': 'Ryze', 'role': 'TOP'}]","[{'champion': 'Ashe', 'role': 'DUO_CARRY'}, {'champion': 'Lissandra', 'role': 'MIDDLE'}, {'champion': 'Pyke', 'role': 'DUO_SUPPORT'}, {'champion': 'Tahm Kench', 'role': 'TOP'}, {'champion': 'Amumu', 'role': 'JUNGLE'}]",9.9.272.4950
3034879072,blue,"[{'champion': 'Xin Zhao', 'role': 'JUNGLE'}, {'champion': 'Ezreal', 'role': 'JUNGLE'}, {'champion': 'Taric', 'role': 'SOLO'}, {'champion': 'Jax', 'role': 'TOP'}, {'champion': 'Lissandra', 'role': 'MIDDLE'}]","[{'champion': 'Vladimir', 'role': 'MIDDLE'}, {'champion': 'Yorick', 'role': 'TOP'}, {'champion': 'Kindred', 'role': 'JUNGLE'}, {'champion': 'Sona', 'role': 'DUO_SUPPORT'}, {'champion': 'Jhin', 'role': 'DUO_CARRY'}]",9.9.272.4950
3034414361,red,"[{'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Kayn', 'role': 'JUNGLE'}, {'champion': 'Veigar', 'role': 'MIDDLE'}, {'champion': 'Garen', 'role': 'TOP'}, {'champion': 'Taric', 'role': 'DUO_SUPPORT'}]","[{'champion': 'Nami', 'role': 'DUO_SUPPORT'}, {'champion': 'Sion', 'role': 'TOP'}, {'champion': 'Kindred', 'role': 'JUNGLE'}, {'champion': 'Annie', 'role': 'MIDDLE'}, {'champion': 'Draven', 'role': 'DUO_CARRY'}]",9.9.272.4950
3034214263,blue,"[{'champion': 'Irelia', 'role': 'TOP'}, {'champion': 'Vladimir', 'role': 'MIDDLE'}, {'champion': 'Rakan', 'role': 'DUO_SUPPORT'}, {'champion': 'Xayah', 'role': 'DUO_CARRY'}, {'champion': 'Rammus', 'role': 'JUNGLE'}]","[{'champion': 'Aatrox', 'role': 'TOP'}, {'champion': 'Hecarim', 'role': 'JUNGLE'}, {'champion': 'Cassiopeia', 'role': 'MIDDLE'}, {'champion': 'Draven', 'role': 'DUO_CARRY'}, {'champion': 'Thresh', 'role': 'DUO_SUPPORT'}]",9.9.272.4950
3034166461,red,"[{'champion': 'Twitch', 'role': 'DUO_CARRY'}, {'champion': 'Thresh', 'role': 'DUO_SUPPORT'}, {'champion': 'Diana', 'role': 'MIDDLE'}, {'champion': 'Maokai', 'role': 'JUNGLE'}, {'champion': 'Riven', 'role': 'TOP'}]","[{'champion': 'LeBlanc', 'role': 'MIDDLE'}, {'champion': 'Jarvan IV', 'role': 'TOP'}, {'champion': 'Sona', 'role': 'JUNGLE'}, {'champion': 'Dr. Mundo', 'role': 'TOP'}, {'champion': 'Jinx', 'role': 'SOLO'}]",9.9.272.4950
3034937328,blue,"[{'champion': 'Irelia', 'role': 'MIDDLE'}, {'champion': 'Darius', 'role': 'TOP'}, {'champion': 'Teemo', 'role': 'JUNGLE'}, {'champion': 'Vayne', 'role': 'DUO_CARRY'}, {'champion': 'Morgana', 'role': 'DUO_SUPPORT'}]","[{'champion': 'Ezreal', 'role': 'TOP'}, {'champion': 'Jax', 'role': 'JUNGLE'}, {'champion': 'Fiddlesticks', 'role': 'TOP'}, {'champion': 'Hecarim', 'role': 'JUNGLE'}, {'champion': 'Zoe', 'role': 'MIDDLE'}]",9.9.272.4950
3034356013,blue,"[{'champion': 'Nami', 'role': 'DUO_SUPPORT'}, {'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Darius', 'role': 'TOP'}, {'champion': 'Jax', 'role': 'JUNGLE'}, {'champion': 'Kassadin', 'role': 'MIDDLE'}]","[{'champion': 'Yasuo', 'role': 'MIDDLE'}, {'champion': ""Rek'Sai"", 'role': 'JUNGLE'}, {'champion': 'Jinx', 'role': 'DUO_CARRY'}, {'champion': 'Vayne', 'role': 'TOP'}, {'champion': 'Fiddlesticks', 'role': 'DUO_SUPPORT'}]",9.9.272.4950
3034316512,blue,"[{'champion': 'Fiddlesticks', 'role': 'DUO_SUPPORT'}, {'champion': 'Darius', 'role': 'TOP'}, {'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Ahri', 'role': 'MIDDLE'}, {'champion': 'Twitch', 'role': 'JUNGLE'}]","[{'champion': 'Zoe', 'role': 'MIDDLE'}, {'champion': 'Illaoi', 'role': 'TOP'}, {'champion': 'Zilean', 'role': 'DUO_SUPPORT'}, {'champion': 'Udyr', 'role': 'JUNGLE'}, {'champion': 'Vayne', 'role': 'DUO_CARRY'}]",9.9.272.4950
3034293392,red,"[{'champion': 'Nocturne', 'role': 'JUNGLE'}, {'champion': 'Lulu', 'role': 'DUO_SUPPORT'}, {'champion': 'Vayne', 'role': 'DUO_CARRY'}, {'champion': 'Akali', 'role': 'TOP'}, {'champion': 'Zed', 'role': 'MIDDLE'}]","[{'champion': 'Miss Fortune', 'role': 'DUO_CARRY'}, {'champion': 'LeBlanc', 'role': 'MIDDLE'}, {'champion': 'Neeko', 'role': 'JUNGLE'}, {'champion': 'Renekton', 'role': 'TOP'}, {'champion': 'Fiddlesticks', 'role': 'DUO_SUPPORT'}]",9.9.272.4950
3034237132,blue,"[{'champion': 'Wukong', 'role': 'DUO_SUPPORT'}, {'champion': 'Master Yi', 'role': 'JUNGLE'}, {'champion': 'LeBlanc', 'role': 'MIDDLE'}, {'champion': 'Nasus', 'role': 'TOP'}, {'champion': 'Jinx', 'role': 'DUO_CARRY'}]","[{'champion': 'Lux', 'role': 'DUO_SUPPORT'}, {'champion': 'Yasuo', 'role': 'MIDDLE'}, {'champion': 'Trundle', 'role': 'JUNGLE'}, {'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': ""Cho'Gath"", 'role': 'TOP'}]",9.9.272.4950
3034020262,red,"[{'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': 'Ekko', 'role': 'MIDDLE'}, {'champion': 'Ryze', 'role': 'TOP'}, {'champion': 'Shaco', 'role': 'JUNGLE'}, {'champion': 'Soraka', 'role': 'DUO_SUPPORT'}]","[{'champion': 'Orianna', 'role': 'MIDDLE'}, {'champion': 'Hecarim', 'role': 'JUNGLE'}, {'champion': 'Caitlyn', 'role': 'DUO_CARRY'}, {'champion': 'Malphite', 'role': 'TOP'}, {'champion': 'Thresh', 'role': 'DUO_SUPPORT'}]",9.9.272.4950
3033485025,blue,"[{'champion': 'Riven', 'role': 'MIDDLE'}, {'champion': 'Lucian', 'role': 'DUO_CARRY'}, {'champion': 'Warwick', 'role': 'JUNGLE'}, {'champion': 'Sylas', 'role': 'DUO_SUPPORT'}, {'champion': 'Katarina', 'role': 'TOP'}]","[{'champion': 'Jhin', 'role': 'DUO_CARRY'}, {'champion': 'Neeko', 'role': 'JUNGLE'}, {'champion': 'Talon', 'role': 'MIDDLE'}, {'champion': 'Akali', 'role': 'TOP'}, {'champion': 'Blitzcrank', 'role': 'DUO_SUPPORT'}]",9.9.272.4950
3033469309,blue,"[{'champion': 'Swain', 'role': 'DUO_SUPPORT'}, {'champion': 'Miss Fortune', 'role': 'DUO_CARRY'}, {'champion': 'Akali', 'role': 'MIDDLE'}, {'champion': 'Lee Sin', 'role': 'JUNGLE'}, {'champion': 'Ornn', 'role': 'TOP'}]","[{'champion': 'Lulu', 'role': 'DUO_SUPPORT'}, {'champion': 'Neeko', 'role': 'MIDDLE'}, {'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Urgot', 'role': 'JUNGLE'}, {'champion': 'Riven', 'role': 'TOP'}]",9.9.272.4950
3033442290,blue,"[{'champion': 'Sylas', 'role': 'DUO_SUPPORT'}, {'champion': 'Lucian', 'role': 'DUO_CARRY'}, {'champion': 'Twitch', 'role': 'JUNGLE'}, {'champion': 'Teemo', 'role': 'TOP'}, {'champion': 'Vladimir', 'role': 'MIDDLE'}]","[{'champion': 'Pyke', 'role': 'DUO_SUPPORT'}, {'champion': 'Ahri', 'role': 'MIDDLE'}, {'champion': 'Lee Sin', 'role': 'JUNGLE'}, {'champion': 'Darius', 'role': 'TOP'}, {'champion': 'Vayne', 'role': 'DUO_CARRY'}]",9.9.272.4950
3035002872,red,"[{'champion': 'Hecarim', 'role': 'JUNGLE'}, {'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': 'Darius', 'role': 'JUNGLE'}, {'champion': 'Katarina', 'role': 'MIDDLE'}, {'champion': 'Sona', 'role': 'DUO_SUPPORT'}]","[{'champion': 'Dr. Mundo', 'role': 'JUNGLE'}, {'champion': 'Nautilus', 'role': 'MIDDLE'}, {'champion': 'Thresh', 'role': 'DUO_SUPPORT'}, {'champion': 'Kaisa', 'role': 'DUO_CARRY'}, {'champion': 'Poppy', 'role': 'TOP'}]",9.9.272.4950
3034228457,blue,"[{'champion': ""Kog'Maw"", 'role': 'DUO_CARRY'}, {'champion': 'Tryndamere', 'role': 'TOP'}, {'champion': 'Heimerdinger', 'role': 'MIDDLE'}, {'champion': ""Kha'Zix"", 'role': 'JUNGLE'}, {'champion': 'Lux', 'role': 'DUO_SUPPORT'}]","[{'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': 'Evelynn', 'role': 'JUNGLE'}, {'champion': 'Nautilus', 'role': 'DUO_SUPPORT'}, {'champion': 'Viktor', 'role': 'MIDDLE'}, {'champion': 'Darius', 'role': 'TOP'}]",9.9.272.4950
3034215764,blue,"[{'champion': 'Caitlyn', 'role': 'MIDDLE'}, {'champion': 'Rengar', 'role': 'JUNGLE'}, {'champion': 'Thresh', 'role': 'MIDDLE'}, {'champion': 'Kindred', 'role': 'TOP'}, {'champion': 'Akali', 'role': 'MIDDLE'}]","[{'champion': 'Aurelion Sol', 'role': 'MIDDLE'}, {'champion': 'Varus', 'role': 'DUO_CARRY'}, {'champion': 'Sion', 'role': 'TOP'}, {'champion': 'Bard', 'role': 'DUO_SUPPORT'}, {'champion': 'Vi', 'role': 'JUNGLE'}]",9.9.272.4950
3034367599,red,"[{'champion': 'Zed', 'role': 'MIDDLE'}, {'champion': 'Sejuani', 'role': 'JUNGLE'}, {'champion': 'Garen', 'role': 'TOP'}, {'champion': 'Leona', 'role': 'DUO_SUPPORT'}, {'champion': 'Draven', 'role': 'DUO_CARRY'}]","[{'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': ""Kha'Zix"", 'role': 'JUNGLE'}, {'champion': 'Morgana', 'role': 'DUO_SUPPORT'}, {'champion': 'Syndra', 'role': 'MIDDLE'}, {'champion': 'Maokai', 'role': 'TOP'}]",9.9.272.4950
3034259157,blue,"[{'champion': 'Jhin', 'role': 'MIDDLE'}, {'champion': 'Thresh', 'role': 'SOLO'}, {'champion': 'Garen', 'role': 'TOP'}, {'champion': 'Lux', 'role': 'MIDDLE'}, {'champion': 'Warwick', 'role': 'JUNGLE'}]","[{'champion': 'Fizz', 'role': 'MIDDLE'}, {'champion': 'Ezreal', 'role': 'DUO_CARRY'}, {'champion': 'Riven', 'role': 'TOP'}, {'champion': 'Ivern', 'role': 'JUNGLE'}, {'champion': 'Pyke', 'role': 'DUO_SUPPORT'}]",9.9.272.4950
